gaia_source_id,hip_source_id,mapping_source,angular_distance
2720428303852574336,109427,fis_raw_sky_render_v1,0.24480869
2816504901198512768,113963,fis_raw_sky_render_v1,0.020618236
2821292758941963776,116478,fis_raw_sky_render_v1,0.218765
2853900872207888768,171,fis_raw_sky_render_v1,2.4596863
2858629802998456576,3092,fis_raw_sky_render_v1,0.5285762
2876698936572615424,394,fis_raw_sky_render_v1,0.10892814
2891816671700460288,30277,fis_raw_sky_render_v1,0.026080234
2920772722738017920,33817,fis_raw_sky_render_v1,0.15472075
2962546605447869184,23685,fis_raw_sky_render_v1,0.044646405
2976507997939000064,23932,fis_raw_sky_render_v1,0.016551763
2977433305691613440,21763,fis_raw_sky_render_v1,0.09205375
2983168461421919488,24305,fis_raw_sky_render_v1,0.056423523
3017190546641718144,26241,fis_raw_sky_render_v1,0.02515838
3060788519149063680,36985,fis_raw_sky_render_v1,0.77094924
3143264535611892096,36188,fis_raw_sky_render_v1,0.0053236056
3143460557918325248,36284,fis_raw_sky_render_v1,0.012294341
3174163561130003840,21594,fis_raw_sky_render_v1,0.34091866
3195919528989223040,19849,fis_raw_sky_render_v1,0.01894685
3211922645854328832,23875,fis_raw_sky_render_v1,0.27044055
3312744219988782720,20894,fis_raw_sky_render_v1,0.08079496
3314024566919613952,20455,fis_raw_sky_render_v1,0.0404267
3377072212924335488,29655,fis_raw_sky_render_v1,0.1259795
3377166289889430656,30343,fis_raw_sky_render_v1,0.03675473
3399063235755057792,27913,fis_raw_sky_render_v1,0.71704835
3554395813252625920,52621,fis_raw_sky_render_v1,0.04879165
3581001280225616128,59750,fis_raw_sky_render_v1,0.06719844
3626268998574790656,63366,fis_raw_sky_render_v1,0.021949789
3626724299468272384,62985,fis_raw_sky_render_v1,0.1114572
3631753877970312576,66006,fis_raw_sky_render_v1,0.026080234
3662636823132300032,66249,fis_raw_sky_render_v1,0.085950546
3695061317957036928,60129,fis_raw_sky_render_v1,0.24707495
3698723962986793344,59198,fis_raw_sky_render_v1,0.028503256
3737308025029348608,63510,fis_raw_sky_render_v1,0.64982164
3754435186374119424,51933,fis_raw_sky_render_v1,0.036883023
3902745286187581312,60910,fis_raw_sky_render_v1,0.49975777
3915612630249291008,55642,fis_raw_sky_render_v1,0.13820884
3990320597065899776,54872,fis_raw_sky_render_v1,0.016263884
4039970797062166400,87261,fis_raw_sky_render_v1,0.1429465
4049975081571729920,88635,fis_raw_sky_render_v1,0.16258074
4136366183978856960,84012,fis_raw_sky_render_v1,0.12174656
4150413750729448320,88010,fis_raw_sky_render_v1,0.1762963
4268226078065241600,94349,fis_raw_sky_render_v1,0.22331664
4289041379340453376,95501,fis_raw_sky_render_v1,0.030271303
4377160604838377600,86400,fis_raw_sky_render_v1,0.019439058
4468557611984384512,88601,fis_raw_sky_render_v1,2.2770433
4506929502678142336,93244,fis_raw_sky_render_v1,0.04840287
4594497769766809216,86974,fis_raw_sky_render_v1,0.2596952
4660766641264343680,25647,fis_raw_sky_render_v1,0.3959083
4672726716408826240,17440,fis_raw_sky_render_v1,0.12530279
4676528209144882304,19780,fis_raw_sky_render_v1,0.1070914
4704272495284592512,5496,fis_raw_sky_render_v1,0.14959869
4713424658275847168,9236,fis_raw_sky_render_v1,0.006872745
4822106194362165760,25859,fis_raw_sky_render_v1,0.13280591
4847957293278177024,15510,fis_raw_sky_render_v1,0.050128657
4871775051598300160,20535,fis_raw_sky_render_v1,0.27110344
4900637266186106752,2743,fis_raw_sky_render_v1,0.18312997
4937200425857908992,9007,fis_raw_sky_render_v1,0.27692986
4942522955488925696,8837,fis_raw_sky_render_v1,0.06649181
4966414930843912320,10812,fis_raw_sky_render_v1,0.12190165
4993479684438433792,2081,fis_raw_sky_render_v1,1.1892034
5032683355641241472,4569,fis_raw_sky_render_v1,0.12639126
5059348952161258624,14879,fis_raw_sky_render_v1,0.19100793
5101578445000656128,16134,fis_raw_sky_render_v1,0.07465712
5111187420714898304,18543,fis_raw_sky_render_v1,0.034637544
5138510181584617856,9724,fis_raw_sky_render_v1,0.1594714
5164707970261890560,16537,fis_raw_sky_render_v1,0.01374549
5236306071562633344,57363,fis_raw_sky_render_v1,0.06534532
5300534077635861888,45080,fis_raw_sky_render_v1,0.06131783
5301472064124336000,43783,fis_raw_sky_render_v1,0.1614437
5333974693006467328,56561,fis_raw_sky_render_v1,0.06077621
5338833263117260672,53253,fis_raw_sky_render_v1,0.010647211
5346659311979165184,55425,fis_raw_sky_render_v1,0.14572813
5364580148905328256,51986,fis_raw_sky_render_v1,0.41075796
5494452847462040192,28898,fis_raw_sky_render_v1,0.12363303
5502164890740285696,32768,fis_raw_sky_render_v1,0.099405654
5510446584122149120,35296,fis_raw_sky_render_v1,0.07640812
5512761468416162432,38827,fis_raw_sky_render_v1,0.08704271
