catalog,source_id,ra,dec,ref_epoch,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ruwe,astrometric_params_solved,non_single_star,duplicated_source,visibility_periods_used,astrometric_excess_noise,astrometric_sigma5d_max,ipd_frac_multi_peak,ipd_frac_odd_win,phot_g_mean_mag,phot_g_mean_flux_over_error,phot_bp_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_mag,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,bp_rp,phot_variable_flag,teff_gspphot,pm_total_masyr,r_pc_parallax,parallax_frac_error,quality_flags,quality_flag_count,pm_total_query,cohorts,cohort_ranks,official_best_hip_ids,has_official_best_neighbour,fis_supplemental_hip_ids,has_fis_supplemental_match,any_gaia_hip_hip_ids,has_any_gaia_hip_match,official_neighbourhood_hip_ids
gaia_dr3,2591891443195067264,22.870999185961374,15.34581754691887,2016.0,8.733507455452296,0.9206567,28.583772574864522,0.61257184,-3.216513878931902,0.37649974,18.509811,95,0,True,9,2.931879,0.85460633,59,0,3.3828592,463.3451,3.963104,110.20692,2.751157,300.13086,1.1781524,1.211947,NOT_AVAILABLE,5338.2964,28.764179392865334,114.50153390270523,0.10541660217923425,ruwe_gt_1p4;parallax_frac_error_gt_0p1;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10;duplicated_source,5,,brightest,brightest:264,7097,True,,False,7097,True,7097
gaia_dr3,699870869414974336,137.66159865872208,30.96298610131605,2016.0,6.649020218077174,0.49462506,-10.722682764113625,0.42267272,-33.82237411571386,0.3601151,2.5095837,95,0,False,12,2.2250745,0.75737625,19,0,3.36875,132.81865,6.3271494,20.833107,2.3801565,67.023964,1.0938281,3.9469929,VARIABLE,3541.0562,35.48138831110094,150.3980988478915,0.0743906689297829,ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10;phot_variable,4,,brightest,brightest:259,45058,True,,False,45058,True,45058
gaia_dr3,892348694913501952,113.64979381874497,31.88850351976742,2016.0,,,,,,,,3,0,False,7,2.5066266,1.2025716,11,0,2.9247973,249.61377,3.2107816,22.962896,2.7979324,52.031433,1.0303887,0.4128492,NOT_AVAILABLE,,,,,astrometric_params_not_31_or_95;visibility_periods_lt_8;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,4,,brightest,brightest:138,36850,True,,False,36850,True,36850
gaia_dr3,1010770873228612608,135.90617083459304,47.156273386809694,2016.0,,,,,,,,3,0,False,16,64.90276,13.3038645,47,0,3.7986155,58.186768,3.5695796,218.06451,3.4924505,507.06842,1.4535946,0.077129126,VARIABLE,,,,,astrometric_params_not_31_or_95;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10;phot_variable,4,,brightest,brightest:478,,False,44471,True,44471,True,
gaia_dr3,1186417202929896960,221.52437843000473,15.131856044868343,2016.0,5.108426808605989,0.3008746,-83.1474095114807,0.21076474,16.911452551215532,0.28748935,1.7983762,95,0,False,12,1.4226189,0.42441326,27,0,3.8274627,153.94637,5.849381,29.602974,2.6850839,65.555244,1.318131,3.164297,VARIABLE,,84.84980221463033,195.75498239797324,0.05889770024048212,ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10;phot_variable,4,,brightest,brightest:500,,False,72208,True,72208,True,
gaia_dr3,1381119031215320576,247.16079375745315,41.881650687920455,2016.0,8.486623721850398,0.22566897,28.560299773638302,0.29123467,-6.402429210261193,0.28420842,2.7607467,95,0,False,19,1.8245962,0.467767,28,0,2.7236698,131.01979,5.179862,25.50518,2.0481105,85.986374,0.85972303,3.1317515,VARIABLE,,29.26912747166355,117.83248942984396,0.026591136141590112,ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10;phot_variable,4,,brightest,brightest:87,80704,True,,False,80704,True,80704
gaia_dr3,1398822783330261248,240.66277161527762,47.24063069977545,2016.0,8.162068243632802,0.25105914,-68.63062874288943,0.26017848,62.82375422791022,0.38463163,2.174361,95,0,False,17,1.9372911,0.54652536,22,0,3.6584573,80.82319,6.472462,18.541285,2.533304,50.49622,1.2408221,3.9391582,VARIABLE,,93.04293254693334,122.51796605353013,0.03075925577211224,ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10;phot_variable,4,,brightest,brightest:398,78574,True,,False,78574,True,78574
gaia_dr3,1576683529448755328,193.50817846782095,55.959784778923755,2016.0,,,,,,,,3,0,False,6,2.3674035,2.5359015,0,0,1.731607,64.63143,2.4691198,19.758657,2.1307526,46.093388,0.6591185,0.33836722,VARIABLE,,,,,astrometric_params_not_31_or_95;visibility_periods_lt_8;astrometric_excess_noise_gt_1;phot_variable,4,,brightest,brightest:1,,False,62956,True,62956,True,
gaia_dr3,1621259036510505344,224.3950073429196,65.9325976765071,2016.0,9.85144476370445,0.49195,-79.45695685826611,0.725035,33.561441871200365,0.6965441,5.7455015,95,0,False,18,3.9273984,1.3198401,17,0,3.1697965,243.24292,4.87173,67.695625,2.3345132,85.22113,1.0597501,2.5372167,VARIABLE,,86.25414989234038,101.50795380635813,0.049936838412308567,ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10;phot_variable,4,,brightest,brightest:189,73199,True,,False,73199,True,73199
gaia_dr3,1812371096773414144,309.4781975051933,18.26885690965373,2016.0,8.431493196545812,0.28471982,35.3465262710282,0.2627561,61.883279159649135,0.23707727,1.982749,95,0,False,20,2.1127145,0.39687365,36,0,3.7925513,341.64368,6.227913,98.047554,2.6624928,76.16071,1.2688571,3.5654202,VARIABLE,,71.26652200703744,118.60295403069019,0.03376861229130775,ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10;phot_variable,4,,brightest,brightest:474,101810,True,,False,101810,True,101810
gaia_dr3,1977100856572910336,324.01079818650203,45.37459068778563,2016.0,5.175964856383765,0.24665639,62.004086831950424,0.26675814,0.1995335892973335,0.25581324,2.4935682,95,0,False,22,2.1931105,0.42165917,32,0,3.5311058,83.79088,6.0899467,17.966406,2.4664636,48.75802,1.1908911,3.6234832,VARIABLE,,62.00440788780509,193.20069354154367,0.04765418523662195,ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10;phot_variable,4,,brightest,brightest:332,,False,106642,True,106642,True,
