catalog,cohort,cohort_rank,HIP,n_HIP,Sn,So,RArad,DErad,Plx,e_Plx,pmRA,pmDE,Hpmag,B-V,HIP1,pm_total_masyr,r_pc_parallax,parallax_frac_error,quality_flags,quality_flag_count
hipparcos2,nearest,186,117828,,5,0,358.45641284,-75.63161009,100.07,1.05,243.04,-378.12,10.0367,1.466,HIP1,449.4921311880776,9.993005,0.0104926545,,0
hipparcos2,nearest,187,46706,,15,3,142.82916916,-13.48884763,99.88,3.6,692.52,104.68,10.0849,1.545,HIP1,700.3869307746968,10.012014,0.036043253,hip_solution_type_not_5,1
hipparcos2,nearest,188,68469,,5,0,210.26529165,-2.65632094,99.72,1.57,-823.47,598.19,9.7639,1.461,HIP1,1017.8084873884675,10.028078,0.015744084,,0
hipparcos2,nearest,189,68184,,5,0,209.38373772,61.49233524,99.36,0.32,-32.36,216.49,6.6311,1.04,HIP1,218.89515686739168,10.064412,0.0032206117,,0
hipparcos2,nearest,190,2552,,17,3,8.11171915,67.23621557,99.35,2.17,1738.21,-224.11,10.3464,1.52,HIP1,1752.5978706480275,10.065426,0.021841973,hip_solution_type_not_5,1
hipparcos2,nearest,191,8362,,5,0,26.93360061,63.85310133,99.33,0.53,582.03,-246.93,5.7673,0.804,HIP1,632.2446882339146,10.0674515,0.005335749,,0
hipparcos2,nearest,192,21553,,5,0,69.41931782,52.89476981,98.91,1.01,305.54,-475.51,8.7011,1.423,HIP1,565.2118644366907,10.110201,0.010211303,,0
hipparcos2,nearest,193,57087,,5,0,175.54378567,26.70854783,98.61,2.33,896.07,-813.54,10.6841,1.493,HIP1,1210.2845849220753,10.14096,0.023628434,,0
hipparcos2,nearest,194,58345,,5,0,179.48716172,-27.70553623,98.45,0.57,-1080.52,-621.64,7.0986,1.128,HIP1,1246.5792233147479,10.15744,0.005789741,,0
hipparcos2,nearest,195,72896,,55,3,223.46626296,23.55551513,98.4,4.42,-677.89,107.1,11.679,0.0,HIP1,686.2982311648486,10.162601,0.0449187,hip_solution_type_not_5,1
hipparcos2,nearest,196,84123,,5,0,257.96906518,-1.85096797,98.19,12.09,-551.62,-324.34,11.3934,1.6,HIP1,639.9070713783369,10.184337,0.12312863,parallax_frac_error_gt_0p1,1
hipparcos2,nearest,197,29271,,5,0,92.55918066,-74.75252786,98.06,0.14,121.8,-212.34,5.2164,0.714,HIP1,244.79280136474603,10.197839,0.0014276974,,0
hipparcos2,nearest,198,62556,,5,0,192.26409555,66.11044122,97.91,1.83,-434.99,-105.61,10.9034,1.626,HIP1,447.6268224760442,10.213461,0.018690635,,0
hipparcos2,nearest,199,94349,D,75,4,288.05646788,2.88766853,97.84,2.95,1788.33,-519.72,11.1028,1.542,HIP1,1862.3192710435017,10.220769,0.030151268,hip_solution_type_not_5;hip_component_flag,2
hipparcos2,nearest,200,14754,,5,0,47.62898318,-68.6006885,97.66,1.85,42.0,-103.77,11.4447,0.025,HIP1,111.94736665058272,10.239607,0.018943273,,0
hipparcos2,nearest,201,67164,,5,0,206.46209326,-17.9668836,97.62,5.03,-314.67,-554.44,11.8273,1.542,HIP1,637.5115077392721,10.243802,0.051526327,,0
hipparcos2,nearest,202,108782,,5,0,330.54391293,1.40090867,97.61,1.53,-454.53,-279.09,9.2298,1.453,HIP1,533.374867236918,10.244852,0.015674623,,0
hipparcos2,nearest,203,83043,,5,0,254.53718442,25.74539404,96.67,1.39,-114.07,-506.26,9.7165,1.522,HIP1,518.9519751383551,10.344471,0.014378815,,0
hipparcos2,nearest,204,13402,P,5,0,43.13287775,-12.76925352,96.6,0.4,397.41,-189.32,6.1909,0.862,HIP1,440.20082973570146,10.351967,0.004140787,hip_component_flag,1
hipparcos2,nearest,205,56244,,5,0,172.94611843,-41.04685446,96.56,2.39,-714.46,170.94,11.4712,1.635,HIP1,734.6247853156059,10.356256,0.02475145,,0
hipparcos2,nearest,206,37826,,5,0,116.33068294,28.02631022,96.54,0.27,-626.55,-45.8,1.2947,0.991,HIP1,628.2217303627756,10.3584,0.0027967682,,0
hipparcos2,nearest,207,10279,,5,0,33.09173984,3.58012336,96.02,1.66,-1760.7,-1852.91,10.1133,1.431,HIP1,2556.039897595497,10.414497,0.017288065,,0
hipparcos2,nearest,208,76901,G,1,2,235.5324239,-19.46923807,95.9,5.59,-2004.86,-1035.03,11.8548,1.591,HIP1,2256.269203907193,10.427528,0.058289886,hip_solution_type_not_5;hip_component_flag,2
hipparcos2,nearest,209,45908,,5,0,140.41079361,-60.28239495,95.58,0.91,-837.79,180.67,9.5344,1.472,HIP1,857.049434396873,10.46244,0.00952082,,0
hipparcos2,nearest,210,33142,,5,0,103.51517977,60.87417356,95.43,2.36,495.89,-989.85,10.9764,1.552,HIP1,1107.1178413339746,10.478885,0.024730168,,0
hipparcos2,nearest,211,14632,,5,0,47.2620139,49.61350017,94.87,0.23,1262.41,-91.5,4.1758,0.595,HIP1,1265.7216353132312,10.54074,0.0024243703,,0
hipparcos2,nearest,212,48714,,5,0,149.03774384,62.78988046,94.68,1.26,-304.27,-582.81,9.0423,1.438,HIP1,657.4554958322274,10.5618925,0.013307985,,0
hipparcos2,nearest,213,62687,,5,0,192.68160076,-0.76716488,94.6,0.82,-29.59,-397.7,8.5612,1.409,HIP1,398.7992704356416,10.570825,0.008668076,,0
hipparcos2,nearest,214,83599,G,5,2,256.30965375,-5.09148339,94.59,1.85,-920.08,-1129.6,10.1272,1.476,HIP1,1456.8951116672745,10.571942,0.019558094,hip_component_flag,1
hipparcos2,nearest,215,37217,,5,0,114.66947758,-21.22342352,94.31,3.31,450.28,-477.71,11.7529,1.588,HIP1,656.4746167979383,10.60333,0.03509702,,0
hipparcos2,nearest,216,82257,,5,0,252.10617855,59.05701857,94.04,2.67,136.04,-293.13,12.3862,0.16,HIP1,323.159524848023,10.633773,0.028392173,,0
hipparcos2,nearest,217,21000,,5,0,67.55216597,5.29852743,93.67,7.62,97.46,119.01,9.971,0.6,HIP1,153.8240283570808,10.6757765,0.08134942,,0
hipparcos2,nearest,218,79755,,5,0,244.18123696,67.23863783,93.57,0.95,-498.28,86.05,8.6599,1.409,HIP1,505.65557536726516,10.687186,0.010152827,,0
hipparcos2,nearest,219,102141,D,15,3,310.46238469,-32.43434148,93.5,3.67,270.45,-365.6,10.1659,1.55,HIP1,454.7598954393406,10.695188,0.03925134,hip_solution_type_not_5;hip_component_flag,2
hipparcos2,nearest,220,65026,,15,3,199.93990019,47.77807191,93.4,2.21,88.61,-12.34,8.5541,1.469,HIP1,89.46512001892134,10.706638,0.02366167,hip_solution_type_not_5,1
hipparcos2,nearest,221,83591,,5,0,256.2663796,-5.06374209,93.4,0.94,-917.08,-1137.93,7.8332,1.1,HIP1,1461.478843945406,10.706638,0.01006424,,0
hipparcos2,nearest,222,81693,,15,3,250.3228214,31.60188678,93.32,0.47,-461.52,342.28,2.9338,0.65,HIP1,574.5922978947768,10.7158165,0.0050364337,hip_solution_type_not_5,1
hipparcos2,nearest,223,71898,G,5,2,220.59172389,66.0558806,93.17,1.3,-301.43,-36.08,10.8699,1.615,HIP1,303.58163860813454,10.733068,0.013952989,hip_component_flag,1
hipparcos2,nearest,224,16536,,5,0,53.23380429,-44.70227038,93.11,1.94,-311.53,131.98,11.5077,1.56,HIP1,338.333653809372,10.7399845,0.020835571,,0
hipparcos2,nearest,225,79762,,5,0,244.19184827,67.2560268,93.09,1.48,-483.02,91.51,10.7253,1.5,HIP1,491.61204267186133,10.742292,0.015898593,,0
hipparcos2,nearest,226,54532,,5,0,167.38273493,-24.59755826,93.0,1.69,-796.18,-446.82,10.4732,1.529,HIP1,912.989980667915,10.752688,0.018172044,,0
hipparcos2,nearest,227,10138,,5,0,32.60000727,-50.82531507,92.74,0.32,2092.86,653.21,6.2571,0.812,HIP1,2192.429310992717,10.782834,0.0034505068,,0
hipparcos2,nearest,228,10644,,75,4,34.2600731,34.22482957,92.73,0.39,1151.83,-246.89,4.9831,0.607,HIP1,1177.9927932716735,10.783997,0.004205758,hip_solution_type_not_5,1
hipparcos2,nearest,229,70975,,5,0,217.75585092,-12.29512799,92.44,3.94,-401.4,-398.21,11.9062,1.591,HIP1,565.4141527234705,10.817827,0.042622242,,0
hipparcos2,nearest,230,117712,,5,0,358.10217128,75.5444864,91.82,0.3,341.01,41.5,6.4992,0.977,HIP1,343.5259380308858,10.890874,0.0032672621,,0
hipparcos2,nearest,231,93101,,5,0,284.50104796,5.91108986,91.68,1.54,-196.11,-1222.54,9.3027,1.444,HIP1,1238.1692871736077,10.907504,0.016797556,,0
hipparcos2,nearest,232,29316,,15,3,92.7281939,10.32031949,91.65,3.5,62.96,-932.06,10.4415,1.45,HIP1,934.1840317624788,10.911075,0.03818876,hip_solution_type_not_5,1
hipparcos2,nearest,233,57757,,5,0,177.67202597,1.76537702,91.5,0.22,740.23,-270.43,3.7136,0.518,HIP1,788.0817456330276,10.928962,0.0024043715,,0
hipparcos2,nearest,234,66459,,5,0,204.36891175,35.71790496,91.44,1.16,319.53,-58.61,9.1013,1.391,HIP1,324.86082096799544,10.936132,0.012685914,,0
hipparcos2,nearest,235,95071,,1,2,290.14566346,-7.66629154,91.31,4.02,-60.87,-162.15,12.3795,0.07,HIP1,173.19867031822156,10.951703,0.044025846,hip_solution_type_not_5,1
hipparcos2,nearest,236,115332,,5,0,350.4074011,17.2937476,91.0,2.89,-534.13,-1382.74,11.6561,1.524,HIP1,1482.3173629489738,10.989011,0.03175824,,0
hipparcos2,nearest,237,57632,,5,0,177.2661596,14.57233678,90.91,0.52,-497.68,-114.67,2.1605,0.09,HIP1,510.7196797657204,10.999889,0.0057199425,,0
hipparcos2,nearest,238,86400,,75,4,264.82092133,3.55547805,90.91,0.67,-179.3,-96.6,6.6566,0.959,HIP1,203.66651663933374,10.999889,0.007369926,hip_solution_type_not_5,1
hipparcos2,nearest,239,8768,,5,0,28.20266228,-22.43485454,90.86,1.16,845.9,-1.5,8.9727,1.424,HIP1,845.9013299433924,11.005943,0.012766894,,0
hipparcos2,nearest,240,88972,,5,0,272.4068833,38.45891533,90.71,0.3,-316.44,-468.47,6.5235,0.876,HIP1,565.3303587284164,11.024143,0.003307243,,0
hipparcos2,nearest,241,3093,,5,0,9.84206096,21.25137382,90.42,0.32,-461.32,-370.02,6.03,0.85,HIP1,591.3805397542262,11.059501,0.00353904,,0
hipparcos2,nearest,242,41824,,5,5,127.90717797,19.39451324,90.37,8.22,-254.94,-94.98,11.5902,1.85,HIP1,272.058089385337,11.0656185,0.09095939,,0
hipparcos2,nearest,243,64797,,15,3,199.2111134,17.01781623,90.32,0.74,632.6,-262.21,6.6314,0.926,HIP1,684.7896349244782,11.071745,0.0081930915,hip_solution_type_not_5,1
hipparcos2,nearest,244,21556,,5,0,69.4250032,-11.0384046,90.1,1.74,-225.75,-192.57,10.378,1.505,HIP1,296.7259129230206,11.09878,0.019311877,,0
hipparcos2,nearest,245,57050,,5,0,175.4378891,42.75219128,90.06,2.75,-578.87,-89.22,11.8939,1.503,HIP1,585.7052887758484,11.103709,0.030535199,,0
hipparcos2,nearest,246,22738,,15,3,73.37945242,-55.86048695,90.02,1.98,134.53,72.68,10.7127,1.58,HIP1,152.9074991620751,11.108643,0.021995112,hip_solution_type_not_5,1
hipparcos2,nearest,247,12777,,5,0,41.04870044,49.22866627,89.87,0.22,334.66,-89.99,4.2097,0.514,HIP1,346.5479991285479,11.127183,0.0024479802,,0
hipparcos2,nearest,248,42808,,5,0,130.82606637,-38.88320778,89.76,0.37,-300.84,339.75,6.7217,0.917,HIP1,453.8003615027207,11.14082,0.0041221036,,0
hipparcos2,nearest,249,48331,,5,0,147.77783545,-43.50163787,89.62,0.67,461.92,-471.92,7.7685,1.156,HIP1,660.3624556256965,11.158223,0.00747601,,0
hipparcos2,nearest,250,26335,,5,0,84.12913401,11.3280058,88.97,1.02,-5.94,-56.71,8.9163,1.415,HIP1,57.02023938918531,11.239743,0.011464538,,0
hipparcos2,nearest,251,428,G,5,0,1.29233673,45.78693444,88.88,1.42,870.19,-150.45,9.9952,1.472,HIP1,883.1001294304061,11.251125,0.015976598,hip_component_flag,1
hipparcos2,nearest,252,78072,,5,0,239.11247636,15.66473324,88.86,0.18,310.93,-1282.19,3.9456,0.478,HIP1,1319.3516062824194,11.253657,0.0020256585,,0
hipparcos2,nearest,253,69673,,55,3,213.91811408,19.18727046,88.83,0.54,-1093.39,-2000.06,0.1114,1.239,HIP1,2279.416963984431,11.257458,0.0060790274,hip_solution_type_not_5,1
hipparcos2,nearest,254,47513,,5,0,145.29481686,13.20990985,88.81,1.68,-665.12,-141.27,10.4115,1.49,HIP1,679.9572246104898,11.259994,0.01891679,,0
hipparcos2,nearest,255,473,P,15,3,1.41782131,45.81245486,88.44,1.56,887.48,-152.02,8.2899,1.41,HIP1,900.4059255691291,11.3071,0.017639076,hip_solution_type_not_5;hip_component_flag,2
hipparcos2,nearest,256,48659,,5,0,148.84970798,-27.2609317,88.32,3.18,-103.06,-151.07,12.0635,1.635,HIP1,182.87566404527422,11.322464,0.036005437,,0
hipparcos2,nearest,257,29052,,5,0,91.93273441,-25.74436822,88.14,2.5,-184.04,-203.99,11.9293,1.6,HIP1,274.7410448040118,11.345587,0.028363967,,0
hipparcos2,nearest,258,47650,,5,0,145.72031032,70.04005602,88.07,2.41,-667.94,-263.25,11.2606,1.488,HIP1,717.9445703534501,11.354605,0.027364597,,0
hipparcos2,nearest,259,47080,,5,0,143.91678139,35.81076687,87.96,0.32,-728.71,-259.81,5.5435,0.77,HIP1,773.6404204796955,11.368804,0.0036380172,,0
hipparcos2,nearest,260,20917,,5,0,67.25069213,21.92227518,87.78,0.97,-65.7,174.33,8.4228,1.363,HIP1,186.29932608573765,11.392117,0.011050354,,0
hipparcos2,nearest,261,67927,,75,4,208.67131829,18.3985867,87.75,1.24,-60.95,-356.29,2.7957,0.58,HIP1,361.46571981309654,11.396011,0.014131054,hip_solution_type_not_5,1
hipparcos2,nearest,262,75187,,5,0,230.47033931,20.97744192,87.63,1.81,78.56,130.41,10.0927,2.1,HIP1,152.24467708264876,11.411617,0.020655027,,0
hipparcos2,nearest,263,8051,,5,0,25.83510896,4.32351525,87.62,2.0,-418.45,-763.81,10.9556,1.525,HIP1,870.9225675110273,11.412919,0.022825839,,0
hipparcos2,nearest,264,116745,,5,0,354.90462515,-72.72036424,87.56,0.51,141.94,-736.82,7.2148,0.989,HIP1,750.3670275271962,11.42074,0.0058245775,,0
hipparcos2,nearest,265,91699,,5,0,280.49684066,31.83046927,87.36,2.66,-302.08,8.55,11.3174,1.579,HIP1,302.2009743531612,11.446886,0.030448718,,0
hipparcos2,nearest,266,36834,,5,0,113.61695209,62.9417557,87.15,2.31,-495.43,-105.88,10.5475,1.64,HIP1,506.6176657993679,11.474469,0.026506023,,0
hipparcos2,nearest,267,97241,D,15,3,296.45614193,32.38665206,86.99,7.52,384.25,191.71,10.7493,0.0,HIP1,429.4191269610612,11.495575,0.08644672,hip_solution_type_not_5;hip_component_flag,2
hipparcos2,nearest,268,72848,P,75,4,223.35016593,19.15227145,86.88,0.46,-442.23,217.61,6.1435,0.841,HIP1,492.87065747516357,11.510129,0.0052946596,hip_solution_type_not_5;hip_component_flag,2
hipparcos2,nearest,269,84794,,1,2,259.97645095,26.5,86.27,4.1,-221.25,355.25,11.2437,1.628,HIP1,418.514187334193,11.591516,0.047525212,hip_solution_type_not_5,1
hipparcos2,nearest,270,11964,,5,0,38.59383106,-43.79563841,86.18,0.78,58.68,-294.75,8.8475,1.39,HIP1,300.53436558902877,11.603621,0.009050824,,0
hipparcos2,nearest,271,109555,,5,0,332.87454935,18.42575725,86.08,1.38,329.12,178.2,10.2639,1.465,HIP1,374.26623465121725,11.6171,0.016031599,,0
hipparcos2,nearest,272,13389,,5,0,43.08699912,-63.68135324,85.87,1.99,978.61,633.21,11.4278,1.549,HIP1,1165.6038933531408,11.645511,0.023174565,,0
hipparcos2,nearest,273,23693,,5,0,76.37787653,-57.47298941,85.87,0.18,-30.97,117.22,4.8191,0.526,HIP1,121.24219273833677,11.645511,0.002096192,,0
hipparcos2,nearest,274,23708,,5,0,76.44753223,-57.55412263,85.77,0.89,-31.19,118.48,9.0206,1.386,HIP1,122.51663764566835,11.659089,0.010376588,,0
hipparcos2,nearest,275,69454,,5,0,213.30206818,-56.74249353,85.62,1.94,355.86,177.99,10.2683,1.5,HIP1,397.89041167135457,11.679514,0.022658257,,0
hipparcos2,nearest,276,61941,,17,3,190.41667567,-1.44952191,85.58,0.6,-614.76,61.34,2.8213,0.368,HIP1,617.8126359989734,11.684973,0.0070109842,hip_solution_type_not_5,1
hipparcos2,nearest,277,63510,,5,1,195.19563106,12.37576423,85.54,1.53,-616.31,-13.59,9.7583,1.448,HIP1,616.4598155597815,11.690437,0.017886369,,0
hipparcos2,nearest,278,109176,,1,0,331.75197737,25.34504611,85.28,0.63,296.53,27.29,3.8678,0.435,HIP1,297.78311738579134,11.726079,0.0073874295,hip_solution_type_not_5,1
hipparcos2,nearest,279,53985,,5,0,165.6593842,21.96726474,84.95,1.05,142.3,-51.69,9.6641,1.437,HIP1,151.39731206332561,11.771631,0.012360211,,0
hipparcos2,nearest,280,92871,,5,0,283.86398499,8.40267573,84.94,1.72,91.71,-69.59,10.1476,1.539,HIP1,115.12381248030313,11.773016,0.020249588,,0
hipparcos2,nearest,281,73470,,15,3,225.23074722,45.42530751,84.79,1.07,240.63,370.16,9.2154,1.427,HIP1,441.4988363518074,11.793843,0.012619413,hip_solution_type_not_5,1
hipparcos2,nearest,282,69972,,5,0,214.77231357,-59.37706781,84.76,0.69,-454.35,-809.49,6.8014,1.016,HIP1,928.2822752805313,11.7980175,0.008140632,,0
hipparcos2,nearest,283,3937,,15,3,12.63797422,24.81682163,84.42,4.65,195.38,-39.46,12.148,0.0,HIP1,199.32495077134723,11.845534,0.055081736,hip_solution_type_not_5,1
hipparcos2,nearest,284,107556,,5,0,326.7595222,-16.12656594,84.27,0.19,261.7,-296.7,2.9409,0.18,HIP1,395.6232804070054,11.86662,0.0022546577,,0
hipparcos2,nearest,285,36626,,5,0,112.99117367,36.21991906,84.26,3.45,-227.39,-218.85,10.6377,1.439,HIP1,315.59710803491214,11.868028,0.040944695,,0
hipparcos2,nearest,286,54646,,5,0,167.76988201,30.44649646,84.23,0.86,591.8,-197.6,8.4199,1.255,HIP1,623.9174624900315,11.872254,0.010210139,,0
hipparcos2,nearest,287,11048,,5,0,35.56023227,47.8799293,83.75,1.14,215.95,39.76,9.4757,1.466,HIP1,219.57973517608585,11.940298,0.01361194,,0
hipparcos2,nearest,288,36627,,5,0,112.98964529,36.23045486,83.46,4.07,-252.96,-257.46,11.7809,1.567,HIP1,360.9354695787046,11.981788,0.04876588,,0
hipparcos2,nearest,289,108569,,5,0,329.890321,-59.75250902,83.43,1.77,888.07,-125.56,9.7934,1.479,HIP1,896.9022457882464,11.986096,0.02121539,,0
hipparcos2,nearest,290,50636,D,95,3,155.13539761,-23.64438545,83.32,38.76,-87.55,-125.88,9.8526,0.678,HIP1,153.33224351061978,12.001921,0.4651944,parallax_frac_error_gt_0p1;hip_solution_type_not_5;hip_component_flag,3
hipparcos2,nearest,291,84099,,5,0,257.89412277,38.44286869,83.31,1.98,211.59,-46.23,11.6733,0.0,HIP1,216.58148812860253,12.003362,0.023766655,,0
hipparcos2,nearest,292,15330,,5,0,49.43528835,-62.57689909,83.28,0.2,1337.57,649.12,5.6405,0.641,HIP1,1486.7583123359357,12.007685,0.002401537,,0
hipparcos2,nearest,293,115064,D,95,3,349.59588438,-24.99848533,83.21,24.01,93.26,1.02,11.1328,0.0,HIP1,93.26557778730586,12.017786,0.28854707,parallax_frac_error_gt_0p1;hip_solution_type_not_5;hip_component_flag,3
hipparcos2,nearest,294,15371,,5,0,49.54640433,-62.50793544,83.11,0.19,1330.74,647.11,5.3533,0.6,HIP1,1479.7365642910904,12.032247,0.0022861268,,0
hipparcos2,nearest,295,35191,,5,0,109.08250701,27.14297442,83.09,2.84,-37.4,-195.77,10.8542,1.52,HIP1,199.31044352968564,12.035143,0.034179807,,0
hipparcos2,nearest,296,80686,,1,0,247.11583825,-70.08467025,82.53,0.52,199.97,110.97,5.0212,0.555,HIP1,228.69705245149095,12.116806,0.006300739,hip_solution_type_not_5,1
hipparcos2,nearest,297,22762,,7,0,73.45720746,-17.77185271,82.52,2.4,408.07,-642.82,10.9305,1.547,HIP1,761.4057244991004,12.118275,0.029083861,hip_solution_type_not_5,1
hipparcos2,nearest,298,77257,,5,0,236.61144151,7.35323971,82.48,0.32,-224.0,-70.64,4.5434,0.604,HIP1,234.87445497541873,12.124151,0.0038797283,,0
hipparcos2,nearest,299,102186,,5,0,310.57793025,-52.69667183,82.31,1.07,82.13,-1065.58,8.9254,1.324,HIP1,1068.7404143663698,12.149193,0.012999636,,0
hipparcos2,nearest,300,104432,,5,0,317.32082851,-13.29765539,82.18,2.17,713.47,-1994.64,10.946,1.49,HIP1,2118.4022683380986,12.16841,0.026405452,,0
hipparcos2,nearest,301,171,,1,2,0.54018854,27.08448917,82.17,2.23,780.22,-917.75,5.8735,0.69,HIP1,1204.5780634313412,12.169892,0.027138859,hip_solution_type_not_5,1
