catalog,cohort,cohort_rank,HIP,n_HIP,Sn,So,RArad,DErad,Plx,e_Plx,pmRA,pmDE,Hpmag,B-V,HIP1,pm_total_masyr,r_pc_parallax,parallax_frac_error,quality_flags,quality_flag_count
hipparcos2,brightest,83,35904,,7,0,111.02377104,-29.30311963,1.64,0.4,-4.14,5.81,2.4215,-0.083,HIP1,7.134122230520023,609.7561,0.24390244,parallax_frac_error_gt_0p1;hip_solution_type_not_5,2
hipparcos2,brightest,84,58001,,1,0,178.45725512,53.69473297,39.21,0.4,107.68,11.01,2.4286,0.044,HIP1,108.2414084350347,25.503698,0.010201479,hip_solution_type_not_5,1
hipparcos2,brightest,85,84012,,17,3,257.59442738,-15.72514768,36.91,0.8,40.13,99.17,2.4393,0.059,HIP1,106.9818012561015,27.092928,0.021674344,hip_solution_type_not_5,1
hipparcos2,brightest,86,68002,P,5,0,208.88514577,-47.28826623,8.54,0.13,-57.37,-44.55,2.4419,-0.176,HIP1,72.63621273166711,117.096016,0.015222482,hip_component_flag,1
hipparcos2,brightest,87,82396,,5,0,252.54268726,-34.29260943,51.19,0.22,-614.85,-255.98,2.4532,1.144,HIP1,666.0077198501531,19.535067,0.0042977147,,0
hipparcos2,brightest,88,113963,,5,0,346.19007056,15.20536753,24.46,0.19,60.4,-41.3,2.4784,-0.002,HIP1,73.17000751674145,40.883076,0.0077677844,,0
hipparcos2,brightest,89,113881,,5,0,345.94305579,28.08245431,16.64,0.15,187.65,136.93,2.4861,1.655,HIP1,232.29797114912563,60.096157,0.009014424,,0
hipparcos2,brightest,90,105199,,5,0,319.64408995,62.58545515,66.5,0.11,150.55,49.09,2.5141,0.257,HIP1,158.35128859595682,15.037594,0.0016541353,,0
hipparcos2,brightest,91,72105,,15,3,221.24687848,27.07417376,16.1,0.66,-50.95,21.07,2.5167,0.966,HIP1,55.13481114504701,62.1118,0.04099379,hip_solution_type_not_5,1
hipparcos2,brightest,92,59196,P,1,5,182.08976522,-50.72240992,7.86,0.47,-49.94,-7.19,2.5241,-0.128,HIP1,50.45492741051165,127.22646,0.059796438,hip_solution_type_not_5;hip_component_flag,2
hipparcos2,brightest,93,107315,P,5,0,326.0464175,9.87500758,4.73,0.17,26.92,0.44,2.546,1.52,HIP1,26.923595599399427,211.41649,0.035940804,hip_component_flag,1
hipparcos2,brightest,94,59803,,5,0,183.95194935,-17.54198359,21.23,0.2,-158.61,21.86,2.5477,-0.107,HIP1,160.10931172171095,47.103157,0.009420631,,0
hipparcos2,brightest,95,2081,,1,1,6.5702816,-42.30512119,38.5,0.73,233.05,-356.3,2.5512,1.083,HIP1,425.74874339215614,25.974026,0.01896104,hip_solution_type_not_5,1
hipparcos2,brightest,96,81377,P,5,0,249.28970833,-10.56715177,8.91,0.2,15.26,24.79,2.5708,0.038,HIP1,29.110336652124104,112.233444,0.02244669,hip_component_flag,1
hipparcos2,brightest,97,74785,,5,0,229.25196592,-9.38286665,17.62,0.16,-98.1,-19.65,2.5739,-0.071,HIP1,100.0486506655637,56.753685,0.00908059,,0
hipparcos2,brightest,98,54872,,5,0,168.52671705,20.52403382,55.82,0.25,143.42,-129.88,2.5932,0.128,HIP1,193.48930409715157,17.914726,0.0044786814,,0
hipparcos2,brightest,99,78820,,95,3,241.35931336,-19.80539435,8.07,0.78,-5.2,-24.04,2.594,-0.065,HIP1,24.595967149108002,123.91574,0.09665427,hip_solution_type_not_5,1
hipparcos2,brightest,100,73273,,5,0,224.63314152,-43.13386704,8.52,0.18,-35.78,-39.83,2.5982,-0.184,HIP1,53.54098710333981,117.37089,0.02112676,,0
