catalog,HIP,n_HIP,Sn,So,RArad,DErad,Plx,e_Plx,pmRA,pmDE,Hpmag,B-V,HIP1,pm_total_masyr,r_pc_parallax,parallax_frac_error,quality_flags,quality_flag_count,cohorts,cohort_ranks,official_best_gaia_ids,has_official_best_neighbour,fis_supplemental_gaia_ids,has_fis_supplemental_match,any_gaia_hip_gaia_ids,has_any_gaia_hip_match,official_neighbourhood_gaia_ids
hipparcos2,82809,,5,0,253.85710388,-8.32039912,148.92,4.0,-813.83,-894.4,11.7083,1.7,HIP1,1209.2438252478282,6.715015,0.02686006,,0,nearest;high_pm,nearest:87;high_pm:144,4339465360510320128,True,,False,4339465360510320128,True,4339465360510320128
hipparcos2,83000,,5,0,254.41779403,9.37505651,35.66,0.2,-292.13,-10.38,3.3612,1.16,HIP1,292.3143535647882,28.042625,0.005608525,,0,brightest,brightest:236,4444057469252265984,True,,False,4444057469252265984,True,4444057469252265984
hipparcos2,83043,,5,0,254.53718442,25.74539404,96.67,1.39,-114.07,-506.26,9.7165,1.522,HIP1,518.9519751383551,10.344471,0.014378815,,0,nearest,nearest:203,4572835535272627712,True,,False,4572835535272627712,True,4572835535272627712
hipparcos2,83081,,5,0,254.65512805,-55.9900554,6.71,0.19,-17.8,-36.67,3.2393,1.552,HIP1,40.76185594400726,149.0313,0.028315946,,0,brightest,brightest:205,5917537534527580160,True,,False,5917537534527580160,True,5917537534527580160
hipparcos2,83207,,5,0,255.07252587,30.9263392,21.04,0.14,-47.69,26.9,3.9111,-0.018,HIP1,54.753503084277625,47.528515,0.006653992,,0,brightest,brightest:432,1310284059748155136,True,,False,1310284059748155136,True,1310284059748155136
hipparcos2,83389,,5,0,255.65124166,47.07980409,53.8,0.32,123.27,853.63,6.907,0.728,HIP1,862.4845910507619,18.58736,0.0059479554,,0,high_pm,high_pm:286,1359938520253565952,True,,False,1359938520253565952,True,1359938520253565952
hipparcos2,83591,,5,0,256.2663796,-5.06374209,93.4,0.94,-917.08,-1137.93,7.8332,1.1,HIP1,1461.478843945406,10.706638,0.01006424,,0,high_pm;nearest,high_pm:91;nearest:221,4364527594192166400,True,,False,4364527594192166400,True,4364527594192166400
hipparcos2,83762,,5,0,256.78241708,21.55408318,74.84,3.07,-464.9,-27.56,11.6697,1.56,HIP1,465.7161835281226,13.361839,0.041020844,,0,nearest,nearest:369,4568060562432051584,True,,False,4568060562432051584,True,4568060562432051584
hipparcos2,83990,,5,0,257.54277605,-60.7302047,73.41,0.7,70.96,589.86,7.5219,0.889,HIP1,594.1129027381917,13.622122,0.009535485,,0,nearest,nearest:382,5914096303621755520,True,,False,5914096303621755520,True,5914096303621755520
hipparcos2,84051,,5,0,257.74746324,-52.51589202,80.17,1.84,-249.47,158.18,10.0906,1.457,HIP1,295.39159314374535,12.473495,0.02295123,,0,nearest,nearest:320,5924187617032756736,True,,False,5924187617032756736,True,5924187617032756736
hipparcos2,84099,,5,0,257.89412277,38.44286869,83.31,1.98,211.59,-46.23,11.6733,0.0,HIP1,216.58148812860253,12.003362,0.023766655,,0,nearest,nearest:291,1341113541156480768,True,,False,1341113541156480768,True,1341113541156480768
hipparcos2,84143,,5,0,258.03823358,-43.23849048,44.39,0.16,24.47,-288.55,3.4149,0.441,HIP1,289.58570993748987,22.527597,0.0036044153,,0,brightest,brightest:249,5965222838410499328,True,,False,5965222838410499328,True,5965222838410499328
hipparcos2,84164,,5,0,258.09145027,-46.56112054,18.25,1.5,-59.82,-686.11,9.329,0.851,HIP1,688.7128316649836,54.79452,0.08219178,,0,high_pm,high_pm:495,5951309927528198400,True,,False,5951309927528198400,True,5951309927528198400
hipparcos2,84212,,5,1,258.2131738,-5.12368043,50.1,3.62,180.99,-693.65,11.7334,1.49,HIP1,716.8735610970738,19.960081,0.07225549,,0,high_pm,high_pm:459,,False,,False,,False,
hipparcos2,84223,,5,2,258.23289671,42.33261349,39.64,1.14,-1014.92,-354.05,10.2587,1.28,HIP1,1074.9018601249138,25.227043,0.02875883,,0,high_pm,high_pm:183,,False,,False,,False,
hipparcos2,84379,,5,0,258.75801747,24.8395873,43.41,0.15,-21.18,-156.48,3.1501,0.08,HIP1,157.90688015409586,23.036167,0.0034554251,,0,brightest,brightest:190,4573412435280434560,True,,False,4573412435280434560,True,4573412435280434560
hipparcos2,84380,,5,0,258.76189269,36.80915546,8.66,0.12,-27.29,2.82,3.3121,1.437,HIP1,27.435314833258246,115.47344,0.013856813,,0,brightest,brightest:225,1339952869195300608,True,,False,1339952869195300608,True,1339952869195300608
hipparcos2,84478,,5,0,259.05698106,-26.54341627,167.49,0.6,-480.06,-1123.48,6.4408,1.144,HIP1,1221.746665229744,5.9705057,0.0035823034,,0,nearest;high_pm,nearest:69;high_pm:141,4109034455276324608,True,,False,4109034455276324608,True,4109034455276324608
hipparcos2,84521,,5,0,259.1714382,8.05855458,67.08,2.69,-278.96,-64.83,11.5409,1.517,HIP1,286.39415234951986,14.907573,0.04010137,,0,nearest,nearest:479,4395113396338721024,True,,False,4395113396338721024,True,4395113396338721024
hipparcos2,84790,,5,0,259.96871078,41.71582155,80.77,1.66,285.4,-825.23,11.4233,1.56,HIP1,873.1882459699054,12.380835,0.020552186,,0,high_pm;nearest,high_pm:277;nearest:317,1348028919540189056,True,,False,1348028919540189056,True,1348028919540189056
hipparcos2,84862,,5,0,260.16447307,32.47027235,69.8,0.25,135.55,-1040.49,5.5089,0.619,HIP1,1049.2822511602872,14.326647,0.0035816617,,0,high_pm;nearest,high_pm:197;nearest:433,1333760419707327744,True,,False,1333760419707327744,True,1333760419707327744
hipparcos2,84988,,5,0,260.56190131,-75.34753357,35.67,0.5,-957.22,-253.25,7.1311,0.607,HIP1,990.1543773068925,28.034765,0.014017383,,0,high_pm,high_pm:220,5801950515627094400,True,,False,5801950515627094400,True,5801950515627094400
hipparcos2,85235,,5,0,261.25375615,67.30669594,78.11,0.3,-530.81,4.85,6.5688,0.759,HIP1,530.8321567124583,12.802458,0.0038407375,,0,nearest,nearest:339,1637110042813188608,True,,False,1637110042813188608,True,1637110042813188608
hipparcos2,85267,,5,0,261.34858239,-56.377688,2.93,0.16,-0.44,-15.77,3.271,-0.15,HIP1,15.776137043015314,341.2969,0.054607507,,0,brightest,brightest:211,,False,5922299347569528832,True,5922299347569528832,True,
hipparcos2,85295,,5,0,261.43987929,2.11430214,129.86,0.73,-579.66,-1184.76,7.6288,1.359,HIP1,1318.962460875972,7.7006006,0.0056214384,,0,nearest;high_pm,nearest:105;high_pm:120,4375233191015944192,True,,False,4375233191015944192,True,4375233191015944192
hipparcos2,85523,,5,0,262.16440394,-46.8930516,220.24,1.42,571.26,-880.83,9.4032,1.553,HIP1,1049.8568838179801,4.540501,0.0064475113,,0,nearest;high_pm,nearest:32;high_pm:195,5951824121022278144,True,,False,5951824121022278144,True,5951824121022278144
hipparcos2,85665,,5,0,262.59462846,5.54912359,100.23,1.07,29.13,-248.15,9.3725,1.461,HIP1,249.85391611899942,9.977053,0.010675447,,0,nearest,nearest:185,4389844948935164544,True,,False,4389844948935164544,True,4389844948935164544
hipparcos2,85670,,5,0,262.60823689,52.30135886,8.58,0.1,-15.89,12.28,2.9466,0.954,HIP1,20.08209401432032,116.55012,0.011655012,,0,brightest,brightest:155,1415230383034813824,True,,False,1415230383034813824,True,1415230383034813824
hipparcos2,85696,,5,0,262.69099525,-37.29574034,5.66,0.18,-2.37,-30.09,2.6043,-0.179,HIP1,30.18319068620811,176.67845,0.03180212,,0,brightest,brightest:101,,False,,False,,False,
hipparcos2,86057,,5,0,263.80642761,-48.68197465,102.83,2.75,82.62,454.25,10.1664,1.543,HIP1,461.7024224541171,9.724789,0.026743168,,0,nearest,nearest:176,5946986063684477056,True,,False,5946986063684477056,True,5946986063684477056
hipparcos2,86162,,5,0,264.11002644,68.34222708,220.84,0.94,-320.57,-1269.33,9.1467,1.505,HIP1,1309.1843925895237,4.5281653,0.0042564753,,0,nearest;high_pm,nearest:31;high_pm:121,1637645127018395776,True,,False,1637645127018395776,True,1637645127018395776
hipparcos2,86214,,5,0,264.26766864,-44.31693544,196.9,2.15,-708.98,-937.4,10.8964,1.655,HIP1,1175.3175742751403,5.07872,0.01091925,,0,nearest;high_pm,nearest:43;high_pm:157,5955305209191546112,True,,False,5955305209191546112,True,5955305209191546112
hipparcos2,86263,,5,0,264.3967721,-15.39840819,30.98,0.19,-42.1,-59.94,3.6075,0.262,HIP1,73.24761839131699,32.27889,0.006132989,,0,brightest,brightest:298,4125171197089493760,True,,False,4125171197089493760,True,4125171197089493760
hipparcos2,86287,,5,0,264.46990215,18.58931933,123.67,1.61,926.78,984.2,9.6468,1.53,HIP1,1351.87677263869,8.086036,0.013018518,,0,high_pm;nearest,high_pm:111;nearest:116,4550763526539955712,True,,False,4550763526539955712,True,4550763526539955712
hipparcos2,86414,,5,0,264.8662182,46.00632235,7.17,0.13,-7.48,4.53,3.7497,-0.179,HIP1,8.744787018561402,139.47002,0.018131102,,0,brightest,brightest:351,1362451076122760320,True,,False,1362451076122760320,True,1362451076122760320
hipparcos2,86431,,5,0,264.9051541,37.18574605,18.07,0.66,-497.87,-820.47,8.5115,0.576,HIP1,959.7111845758598,55.340343,0.036524627,,0,high_pm,high_pm:234,1342299192648782592,True,,False,1342299192648782592,True,1342299192648782592
hipparcos2,86776,,5,0,265.98314417,43.3800769,105.5,1.18,10.0,-603.33,10.52,1.528,HIP1,603.41286769508,9.478673,0.011184834,,0,nearest,nearest:169,1349047857580994560,True,,False,1349047857580994560,True,1349047857580994560
