catalog,source_id,cohorts,cohort_ranks,quality_flags,quality_flag_count,pm_total_masyr,r_pc_parallax,parallax_frac_error,phot_g_mean_mag,ruwe,duplicated_source,non_single_star,official_best_hip_ids,fis_supplemental_hip_ids,any_gaia_hip_hip_ids,has_fis_supplemental_match,has_any_gaia_hip_match,official_neighbourhood_hip_ids,Hpmag,Sn,n_HIP,official_best_gaia_ids,fis_supplemental_gaia_ids,any_gaia_hip_gaia_ids,official_neighbourhood_gaia_ids
gaia_dr3,3402918982515591168,brightest,brightest:134,astrometric_params_not_31_or_95;visibility_periods_lt_8;astrometric_excess_noise_gt_1;duplicated_source,4,,,,2.9119813,,True,0.0,26451,,26451,False,True,26451,,,,,,,
gaia_dr3,4136366183978856960,brightest,brightest:98,astrometric_params_not_31_or_95;visibility_periods_lt_8;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,4,,,,2.7693226,,False,0.0,,84012,84012,True,True,,,,,,,,
gaia_dr3,4240272953377646592,brightest,brightest:443,ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10;phot_variable,4,12.177503499643388,272.368528052706,0.052892302540839306,3.7476714,2.56131,False,0.0,97804,,97804,False,True,97804,,,,,,,
gaia_dr3,4402474042572385536,brightest,brightest:321,astrometric_params_not_31_or_95;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10;phot_variable,4,,,,3.511335,,False,0.0,,,,False,False,,,,,,,,
gaia_dr3,4493746564376875520,brightest,brightest:13,astrometric_params_not_31_or_95;visibility_periods_lt_8;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,4,,,,2.1082857,,False,0.0,,,,False,False,,,,,,,,
gaia_dr3,4677205714465503104,brightest,brightest:6,astrometric_params_not_31_or_95;visibility_periods_lt_8;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,4,,,,1.9587749,,False,0.0,,,,False,False,,,,,,,,
gaia_dr3,4775977077371116672,brightest,brightest:299,astrometric_params_not_31_or_95;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10;phot_variable,4,,,,3.4664958,,False,0.0,21281,,21281,False,True,21281,,,,,,,
gaia_dr3,4937000898856154624,high_pm;nearest,high_pm:63;nearest:393,ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10;missing_bp_or_rp,4,2282.4046574711197,10.797263882112274,0.001699594366221348,13.0888405,4.4071383,False,0.0,,,,False,False,,,,,,,,
gaia_dr3,5589311357728452608,brightest,brightest:11,ruwe_gt_1p4;parallax_frac_error_gt_0p1;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,4,13.273722002182675,173.54894799253518,0.14186965413370142,2.0832374,8.443204,False,0.0,35264,,35264,False,True,35264,,,,,,,
gaia_dr3,5786929090848333568,brightest,brightest:161,ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10;phot_variable,4,94.41264687112844,119.32027300751014,0.042648589601315755,3.0503223,2.6450868,False,0.0,68815,,68815,False,True,68815,,,,,,,
gaia_dr3,6002777448326587264,brightest,brightest:270,astrometric_params_not_31_or_95;visibility_periods_lt_8;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,4,,,,3.3973818,,False,0.0,76297,,76297,False,True,76297,,,,,,,
gaia_dr3,6195030801635544704,brightest,brightest:183,ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10;phot_variable,4,55.4810975744541,148.46686190251455,0.0688099648080127,3.1524858,2.9133182,False,0.0,,65835,65835,True,True,,,,,,,,
gaia_dr3,6247207266946218112,brightest,brightest:60,astrometric_params_not_31_or_95;visibility_periods_lt_8;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,4,,,,2.5550153,,False,0.0,,78820,78820,True,True,,,,,,,,
gaia_dr3,6396597121531742336,brightest,brightest:450,ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10;phot_variable,4,93.89335134476077,127.62360620079622,0.02504950153508456,3.761446,2.0170224,False,0.0,106044,,106044,False,True,106044,,,,,,,
gaia_dr3,6406700636957782144,brightest,brightest:431,ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10;phot_variable,4,45.264895610260815,86.74969227281194,0.014620936701578876,3.7205575,1.9404187,False,0.0,111310,,111310,False,True,111310,,,,,,,
gaia_dr3,6444391655040244992,brightest,brightest:178,ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10;phot_variable,4,32.31817794940893,169.1997271718839,0.05271178841638097,3.137527,2.116435,False,0.0,,98608,98608,True,True,,,,,,,,
gaia_dr3,6518817665843312000,brightest,brightest:363,ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10;phot_variable,4,32.778566475436506,161.65938025034984,0.0721967114694451,3.5925784,2.9081817,False,0.0,,,,False,False,,,,,,,,
gaia_dr3,12730974556132096,brightest,brightest:420,ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,3,82.86578854937187,59.554145905470456,0.04131074895423507,3.7018294,7.27634,False,0.0,,16083,16083,True,True,,,,,,,,
