catalog,cohort,cohort_rank,source_id,ra,dec,ref_epoch,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ruwe,astrometric_params_solved,non_single_star,duplicated_source,visibility_periods_used,astrometric_excess_noise,astrometric_sigma5d_max,ipd_frac_multi_peak,ipd_frac_odd_win,phot_g_mean_mag,phot_g_mean_flux_over_error,phot_bp_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_mag,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,bp_rp,phot_variable_flag,teff_gspphot,pm_total_query,pm_total_masyr,r_pc_parallax,parallax_frac_error,quality_flags,quality_flag_count
gaia_dr3,high_pm,99,2860957125517813248,1.8690045286262813,29.237379479908373,2016.0,47.36414249196796,0.0219631,1515.4183636622718,0.025589108,-1137.5345153999438,0.024374904,1.1367979,31,0,False,16,0.129166,0.036535002,0,0,12.94541,2369.4978,14.4051695,717.60266,11.762993,1902.2258,1.4398171,2.6421766,NOT_AVAILABLE,,1894.855559310794,1894.855559310794,21.113018148055367,0.00046370734747512766,,0
gaia_dr3,high_pm,100,1244644727396803584,206.27327486352382,17.777287971454683,2016.0,77.44122245908348,0.017091446,450.9738430630764,0.016699607,-1833.2526914896066,0.011543957,1.0069798,31,0,False,20,0.09806765,0.023407377,1,0,9.108179,4598.476,10.003153,1975.5208,8.1753845,3865.4197,1.3119086,1.8277683,NOT_AVAILABLE,3846.104,1887.9069992933887,1887.9069992933887,12.913019297033383,0.00022070216716760515,,0
gaia_dr3,high_pm,101,6357629089412187648,337.64687646646456,-75.26487529214928,2016.0,66.50946818877851,0.037933405,409.51345499223896,0.039646126,-1827.8767274186846,0.045868017,0.95733833,31,0,False,27,0.0,0.06747519,0,0,16.443058,2230.6838,17.160511,215.46373,15.63285,461.33826,1.2622919,1.5276613,NOT_AVAILABLE,,1873.1883515702634,1873.1883515702634,15.035453255491827,0.0005703459450474091,,0
gaia_dr3,high_pm,102,6357630601240673792,337.67375451280134,-75.24012453291444,2016.0,66.47070776146106,0.033906218,410.9685366421155,0.037637185,-1825.8354631837462,0.041449357,0.93442327,31,0,False,26,0.0,0.061397966,0,0,16.185328,2260.3918,16.840204,332.8403,15.414818,442.2145,1.2526362,1.4253864,NOT_AVAILABLE,,1871.5155026686707,1871.5155026686707,15.044220735374633,0.0005100926228460989,,0
gaia_dr3,high_pm,103,5690980582306104448,147.79534254143024,-12.336323719476468,2016.0,76.16439069467395,0.019502016,1137.7197681478142,0.016549587,-1455.3791508736647,0.01499961,1.1280327,31,0,False,15,0.110012434,0.024129178,0,0,9.242064,4445.103,10.25897,1398.7664,8.238635,2955.2285,1.3449322,2.0203352,NOT_AVAILABLE,3459.8992,1847.3047240864364,1847.3047240864364,13.129495173259862,0.00025605162210989185,,0
gaia_dr3,high_pm,104,2261614264931057664,293.09759805108064,69.65345106254792,2016.0,173.49391001786597,0.07480691,597.3842379704172,0.115345165,-1738.2861023860867,0.10216282,1.6816003,95,0,False,18,0.6633254,0.16017562,1,0,4.449041,1062.0726,4.859488,1485.7218,3.8651726,345.45535,1.2176324,0.9943154,NOT_AVAILABLE,5153.247,1838.0714081678407,1838.0714081678407,5.763891077773407,0.0004311788596798489,ruwe_gt_1p4,1
gaia_dr3,high_pm,105,786834302080370304,177.7301638123558,48.373099796519554,2016.0,124.33777491111096,0.05490648,-1545.0688611035787,0.023162248,-962.7239331057074,0.053563867,0.99174666,95,0,False,23,0.48847103,0.07642616,1,0,11.684706,2236.2783,13.529427,873.5518,10.387384,1903.9636,1.5230114,3.1420422,VARIABLE,,1820.460149777092,1820.460149777092,8.042608135097316,0.0004415913028327619,phot_variable,1
gaia_dr3,high_pm,106,6288325222245417856,207.42829872177768,-22.113288890480284,2016.0,71.07799890467766,0.03179052,-1749.8611811161343,0.03189041,-494.2076345413317,0.032460973,1.0408489,31,0,False,12,0.10478488,0.056798436,0,0,7.6912794,2802.956,8.393014,1221.0579,6.8802037,1734.1177,1.2684616,1.5128102,NOT_AVAILABLE,4214.972,1818.3111227774225,1818.3111227774225,14.069051118632292,0.0004472624649786418,,0
gaia_dr3,high_pm,107,294014808041906688,19.129853449686145,24.321083349503358,2016.0,46.61706766413649,0.02098227,1679.0530277042828,0.021496233,-679.8915005373071,0.017029567,1.3748362,31,0,False,16,0.0853705,0.03244667,0,0,13.6215315,1688.0842,15.2982435,457.94382,12.381662,1337.966,1.4735447,2.9165812,NOT_AVAILABLE,,1811.4832382182813,1811.4832382182813,21.451370712648266,0.00045009843495249526,,0
gaia_dr3,high_pm,108,3902874650602495232,188.3144928018531,9.022091624851694,2016.0,231.11849780261377,0.5118605,-1795.6609024600048,0.5651156,217.78856656191624,0.5500163,6.116347,95,0,False,14,3.3460634,0.9278972,58,0,11.235116,742.7427,12.916022,24.558392,9.381813,23.813875,2.4744475,3.5342093,NOT_AVAILABLE,,1808.8200397907397,1808.8200397907397,4.326784785759761,0.0022147101798940783,ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,3
gaia_dr3,high_pm,109,27360698317776640,44.38732619280261,10.788296530863727,2016.0,61.06057551660075,0.03349013,1754.3858190939352,0.03254545,-419.31433501397396,0.0281424,1.4168742,31,0,False,14,0.206444,0.046130925,0,0,11.885279,1523.623,13.288116,848.6213,10.719361,1211.9448,1.4311295,2.5687551,NOT_AVAILABLE,3201.0215,1803.7999095759233,1803.7999095759233,16.37717940814571,0.0005484738480080166,ruwe_gt_1p4,1
