catalog,cohort,cohort_rank,source_id,ra,dec,ref_epoch,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ruwe,astrometric_params_solved,non_single_star,duplicated_source,visibility_periods_used,astrometric_excess_noise,astrometric_sigma5d_max,ipd_frac_multi_peak,ipd_frac_odd_win,phot_g_mean_mag,phot_g_mean_flux_over_error,phot_bp_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_mag,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,bp_rp,phot_variable_flag,teff_gspphot,pm_total_masyr,r_pc_parallax,parallax_frac_error,quality_flags,quality_flag_count
gaia_dr3,brightest,143,6007749027577770496,230.4510369940133,-36.261754340239875,2016.0,11.661557593684153,0.2608122,-91.2551568138423,0.19714226,-85.73567412146342,0.15647864,2.0135448,95,0,False,12,1.0876281,0.30737737,0,0,2.965608,615.97125,4.00992,66.93319,2.3475041,63.35653,1.0209638,1.662416,NOT_AVAILABLE,,125.21225763550756,85.75183820569522,0.022365124989524848,ruwe_gt_1p4;astrometric_excess_noise_gt_1,2
gaia_dr3,brightest,144,6762701233364896000,286.734746992432,-27.67154143141872,2016.0,28.319548249048147,0.31344894,-53.00095904927703,0.28885394,-253.30363661316218,0.22152333,3.4783154,95,0,False,12,1.5102806,0.4861326,0,0,2.9668314,447.75958,3.8061733,38.338158,2.4567673,46.65514,1.0081041,1.349406,NOT_AVAILABLE,,258.78916898045804,35.3112977370185,0.011068288695519075,ruwe_gt_1p4;astrometric_excess_noise_gt_1,2
gaia_dr3,brightest,145,1614731957531452544,231.23232031030997,58.966142735645974,2016.0,32.52388531619131,0.13097586,-8.182586516680766,0.1658386,17.296024945644415,0.16731367,2.676171,95,0,False,18,1.0586373,0.27731603,0,0,2.9729202,776.7763,3.7606664,60.04933,2.4086325,88.71292,1.0588781,1.3520339,NOT_AVAILABLE,,19.13392800820887,30.746634059190082,0.004027066757360899,ruwe_gt_1p4;astrometric_excess_noise_gt_1,2
gaia_dr3,brightest,146,4356298849169862784,244.58075014832895,-4.692331985478922,2016.0,30.513634597436656,0.18784496,83.9156476548227,0.20669931,40.76265765863977,0.18137258,3.4660406,95,0,False,15,1.1863658,0.2996515,0,0,2.977211,580.7594,3.7203512,42.25452,2.4902704,71.000595,1.0249301,1.2300808,NOT_AVAILABLE,,93.29217641755291,32.77223487771616,0.006156099211380665,ruwe_gt_1p4;astrometric_excess_noise_gt_1,2
gaia_dr3,brightest,147,6520955322608285824,337.43921411918564,-43.74920644105509,2016.0,9.155560774760122,0.18852651,-14.736912903642546,0.135112,2.7981787629368218,0.1457978,2.9532454,95,0,False,19,1.37514,0.23288895,13,0,2.9805827,601.2409,4.4669456,163.78835,2.2610514,89.69151,1.0010972,2.2058942,NOT_AVAILABLE,,15.000213542443214,109.22323870721073,0.020591476134596595,ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,3
gaia_dr3,brightest,148,1851924859353116928,318.2340887866534,30.226696772221253,2016.0,21.81303235858556,0.13752173,-3.7915252059352493,0.13026115,-45.42939001735778,0.120075196,3.1920905,95,0,False,23,1.1314877,0.2038543,0,0,2.9821486,1179.525,3.672731,79.290184,2.4799142,130.75742,1.0524226,1.1928167,NOT_AVAILABLE,,45.587335310768594,45.84415332820071,0.006304567224424651,ruwe_gt_1p4;astrometric_excess_noise_gt_1,2
gaia_dr3,brightest,149,248577867988535296,55.731412103792316,47.78739289427855,2016.0,6.243474592998773,0.49907744,29.038044099843425,0.37652,-23.36491570546787,0.3797692,2.9155853,95,0,False,13,2.52614,0.65311074,0,0,2.9823132,444.86005,3.0802157,89.54099,3.0454042,453.48752,1.0598569,0.034811497,NOT_AVAILABLE,,37.27099798862476,160.16722501303477,0.0799358485206003,ruwe_gt_1p4;astrometric_excess_noise_gt_1,2
gaia_dr3,brightest,150,4269932382607207040,275.32505935876196,-2.9019428805540897,2016.0,52.44130794438597,0.2036392,-548.9026127940798,0.20972545,-700.8543065644087,0.17286617,3.7133043,95,0,False,15,1.2359264,0.29410753,1,0,2.9904501,470.9447,3.7105737,41.554516,2.47357,78.98059,1.0511965,1.2370036,NOT_AVAILABLE,,890.2195444731854,19.068937049787174,0.003883182978297863,ruwe_gt_1p4;astrometric_excess_noise_gt_1,2
gaia_dr3,brightest,151,3098404220680931968,124.1286317978316,9.185323935788704,2016.0,10.102592897316667,0.3141416,-45.67916058543277,0.30769357,-49.50480605477476,0.19159457,2.9500523,95,0,False,13,1.2942536,0.4642477,3,0,3.0001826,515.537,3.9670346,62.057224,2.3685577,59.623775,1.0507814,1.5984769,NOT_AVAILABLE,,67.3595689884564,98.9844894438544,0.031095146020139054,ruwe_gt_1p4;astrometric_excess_noise_gt_1,2
gaia_dr3,brightest,152,4314399312979641728,286.3525049765623,13.863053278714878,2016.0,38.23294898965933,0.34924912,-6.57492134089543,0.2552513,-95.90884032512517,0.25341505,2.5176792,95,0,False,13,1.6232092,0.43098757,0,0,3.001118,577.4219,3.234281,40.758213,2.9305117,386.58057,1.0342807,0.30376935,NOT_AVAILABLE,,96.13394428166005,26.155450375289256,0.009134768145178579,ruwe_gt_1p4;astrometric_excess_noise_gt_1,2
