catalog,cohort,cohort_rank,HIP,n_HIP,Sn,So,RArad,DErad,Plx,e_Plx,pmRA,pmDE,Hpmag,B-V,HIP1,pm_total_masyr,r_pc_parallax,parallax_frac_error,quality_flags,quality_flag_count
hipparcos2,high_pm,359,73786,,5,0,226.22450954,5.63933145,53.8,2.8,-608.75,-502.66,9.9124,1.3,HIP1,789.457812742391,18.58736,0.052044608,,0
hipparcos2,high_pm,360,57757,,5,0,177.67202597,1.76537702,91.5,0.22,740.23,-270.43,3.7136,0.518,HIP1,788.0817456330276,10.928962,0.0024043715,,0
hipparcos2,high_pm,361,112310,,5,0,341.23281493,-2.35296245,6.77,5.25,743.28,-249.14,11.645,0.673,HIP1,783.9234005947264,147.7105,0.77548003,parallax_frac_error_gt_0p1,1
hipparcos2,high_pm,362,25578,,5,0,82.00110464,9.64577363,113.5,5.01,-190.3,-759.45,12.4665,1.653,HIP1,782.9293662266093,8.810573,0.044140972,,0
hipparcos2,high_pm,363,8691,,5,0,27.9514541,-10.80215927,60.36,3.08,567.12,-539.39,11.8725,1.475,HIP1,782.6663826305561,16.567263,0.051027168,,0
hipparcos2,high_pm,364,30476,,5,0,96.10171464,-42.84940795,35.81,0.32,-77.14,777.98,6.8061,0.673,HIP1,781.795024287057,27.92516,0.008936051,,0
hipparcos2,high_pm,365,19165,,5,0,61.64503735,-20.85122607,43.25,1.61,51.9,-780.04,9.8009,1.206,HIP1,781.764677892267,23.121387,0.037225433,,0
hipparcos2,high_pm,366,1068,D,15,3,3.31099339,69.32759463,49.91,6.05,723.93,-293.85,12.5847,1.4,HIP1,781.2953778181463,20.036064,0.1212182,parallax_frac_error_gt_0p1;hip_solution_type_not_5;hip_component_flag,3
hipparcos2,high_pm,367,81018,,5,2,248.1902039,12.61310605,59.63,3.55,-765.52,-143.85,12.1874,1.47,HIP1,778.918283839839,16.770082,0.05953379,,0
hipparcos2,high_pm,368,27359,,5,0,86.91676169,-36.32826617,66.54,1.43,768.13,-123.17,10.78,1.476,HIP1,777.9425080299958,15.028554,0.02149083,,0
hipparcos2,high_pm,369,54963,,95,3,168.83081214,-18.1440663,62.53,29.78,346.33,-696.53,10.1158,1.34,HIP1,777.8807812255037,15.992324,0.47625142,parallax_frac_error_gt_0p1;hip_solution_type_not_5,2
hipparcos2,high_pm,370,29322,,5,2,92.74845964,-65.20393736,35.48,2.09,173.97,-757.8,11.3923,1.42,HIP1,777.5129586701432,28.184893,0.058906425,,0
hipparcos2,high_pm,371,28898,,5,0,91.51568121,-59.54137559,36.49,0.7,-224.75,-743.02,8.5814,0.844,HIP1,776.2675330709124,27.404768,0.019183336,,0
hipparcos2,high_pm,372,394,,1,2,1.2217286,34.65955197,25.52,3.28,769.18,99.69,6.2283,0.632,HIP1,775.6132854071028,39.18495,0.12852664,parallax_frac_error_gt_0p1;hip_solution_type_not_5,2
hipparcos2,high_pm,373,103096,,5,0,313.33245236,62.15627229,141.87,0.64,1.56,-774.55,8.6286,1.483,HIP1,774.5515709751029,7.048707,0.0045111724,,0
hipparcos2,high_pm,374,108200,,5,0,328.81508001,32.64446152,12.33,1.76,762.57,132.16,11.1321,0.686,HIP1,773.9375107203424,81.103004,0.14274128,parallax_frac_error_gt_0p1,1
hipparcos2,high_pm,375,74190,,5,0,227.39976533,3.16565025,69.19,2.6,-603.68,484.19,11.493,1.511,HIP1,773.866589600559,14.452955,0.03757768,,0
hipparcos2,high_pm,376,47080,,5,0,143.91678139,35.81076687,87.96,0.32,-728.71,-259.81,5.5435,0.77,HIP1,773.6404204796955,11.368804,0.0036380172,,0
hipparcos2,high_pm,377,54658,,15,3,167.83326782,43.41841512,59.16,2.54,-631.79,-446.12,10.9013,1.632,HIP1,773.4220442294103,16.903313,0.042934414,hip_solution_type_not_5,1
hipparcos2,high_pm,378,54966,,95,3,168.83621766,-18.14332352,70.11,29.65,341.07,-690.32,10.2341,1.34,HIP1,769.98080969593,14.2633,0.42290685,parallax_frac_error_gt_0p1;hip_solution_type_not_5,2
hipparcos2,high_pm,379,110109,,5,0,334.56326022,-53.62553609,72.54,0.36,438.75,-632.46,5.5015,0.614,HIP1,769.7449019642806,13.785498,0.004962779,,0
hipparcos2,high_pm,380,72119,,5,0,221.29308904,-49.91532837,34.71,1.05,-662.31,-391.33,8.5339,0.936,HIP1,769.2812912062791,28.810143,0.030250648,,0
hipparcos2,high_pm,381,77760,D,75,4,238.16747676,42.44998794,62.92,0.21,438.9,629.7,4.7198,0.563,HIP1,767.5645249749366,15.893198,0.0033375714,hip_solution_type_not_5;hip_component_flag,2
