catalog,cohort,cohort_rank,source_id,ra,dec,ref_epoch,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ruwe,astrometric_params_solved,non_single_star,duplicated_source,visibility_periods_used,astrometric_excess_noise,astrometric_sigma5d_max,ipd_frac_multi_peak,ipd_frac_odd_win,phot_g_mean_mag,phot_g_mean_flux_over_error,phot_bp_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_mag,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,bp_rp,phot_variable_flag,teff_gspphot,pm_total_masyr,r_pc_parallax,parallax_frac_error,quality_flags,quality_flag_count
gaia_dr3,nearest,44,2441630500517079808,1.6763504259443918,-7.5464753252597605,2016.0,206.35003920573322,0.04744553,-811.5659562556189,0.06421741,-1893.2508466548065,0.03386662,1.3369209,31,0,False,17,0.35831392,0.09012665,4,0,11.773832,1620.9495,14.072416,752.7192,10.397489,1334.3314,1.5826743,3.6749277,NOT_AVAILABLE,,2059.863604637996,4.846134286424774,0.00022992740099218365,,0
gaia_dr3,nearest,45,4752399493622045696,43.77198593477078,-47.01672835622661,2016.0,205.42508538452748,0.18571998,1012.4447203711677,0.18216792,-554.03083867335,0.24066855,1.1210604,95,0,False,28,1.4000083,0.3402793,1,0,18.57293,405.17255,21.753365,6.0179367,16.880054,102.69794,2.0402799,4.87331,NOT_AVAILABLE,,1154.12065314184,4.8679546518290975,0.0009040764492902446,astrometric_excess_noise_gt_1,1
gaia_dr3,nearest,46,823773494718931968,152.8329289582321,49.451988897100506,2016.0,205.31478196510724,0.02237224,-1363.2871863986295,0.016043497,-505.77035887491877,0.020239066,0.94332755,31,0,False,19,0.137554,0.029313644,0,0,5.9611735,3562.7688,6.788394,1076.8561,5.066091,690.2248,1.2984587,1.7223029,NOT_AVAILABLE,3978.864,1454.0823939911918,4.870569914298463,0.0001089655600366898,,0
gaia_dr3,nearest,47,778947814402602752,166.34205974427476,43.53094856108456,2016.0,203.8875927696954,0.033240344,-4406.469178827325,0.03108808,938.5266266886065,0.02773793,0.9393333,95,0,False,17,0.15879498,0.046801426,0,0,7.912665,2273.6614,8.982041,1130.9863,6.8778634,2319.9983,1.362617,2.104178,NOT_AVAILABLE,3382.1968,4505.308297215481,4.90466333147386,0.0001630326981834501,,0
gaia_dr3,nearest,48,778947608243864320,166.35208967877313,43.52590762036144,2016.0,203.83234385738783,0.050037432,-4339.849578444107,0.044766206,960.6961306272715,0.04143234,1.0334092,31,0,False,18,0.3197861,0.067739755,0,0,12.257253,1318.2294,14.709731,142.58647,10.854758,720.58185,1.6075923,3.8549728,NOT_AVAILABLE,,4444.910732390888,4.905992744211656,0.00024548328059744,,0
gaia_dr3,nearest,49,625453654702751872,154.89881370110675,19.869809905451323,2016.0,201.40642101948626,0.0296157,-498.6203603111094,0.027898356,-43.42766908201863,0.026116055,1.1544943,31,0,False,15,0.1609177,0.04681455,0,0,8.204091,1661.4716,9.597194,546.1896,7.032551,1116.3798,1.4393203,2.564643,NOT_AVAILABLE,3187.3616,500.50796812705977,4.965085000459092,0.00014704446906406334,,0
gaia_dr3,nearest,50,6562924609150908416,323.3912518776402,-49.01263039681064,2016.0,201.3251983325545,0.023687575,-45.91675295376507,0.02340184,-816.8749628777432,0.01842646,1.0965127,31,0,False,24,0.15980744,0.033044238,0,0,7.739947,3401.576,8.902462,1614.4265,6.6625524,2409.7878,1.3840325,2.2399096,NOT_AVAILABLE,3310.1243,818.1644414042519,4.967088115558056,0.00011765827233070777,,0
gaia_dr3,nearest,51,5955305209191546112,264.26088738973226,-44.323382243038424,2016.0,199.6944012807481,0.031152742,-705.9450540795624,0.03495059,-938.0799698989338,0.021445652,1.0140452,31,0,False,18,0.21203886,0.049176753,7,0,9.602153,1498.1488,11.2452345,190.65742,8.340336,404.98874,1.5053432,2.9048986,NOT_AVAILABLE,3155.8037,1174.032558877726,5.007651659668271,0.00015600208009705597,,0
gaia_dr3,nearest,52,3195919254111315712,63.830787524383176,-7.672952135407352,2016.0,199.6910732720413,0.05120331,-2236.168749069785,0.047661513,-3338.9552892508973,0.038766496,1.1953526,95,0,False,18,0.4051379,0.0668597,0,0,9.54224,1672.2394,9.481124,1320.1162,9.672128,2275.34,1.1406847,-0.1910038,NOT_AVAILABLE,,4018.5909343864387,5.007735116119533,0.0002564126160006147,,0
gaia_dr3,nearest,53,3195919528989223040,63.80795300602079,-7.6680778150199815,2016.0,199.6080124181338,0.12083028,-2240.0849838923477,0.13507964,-3421.8086201704023,0.09439368,1.9449321,95,0,False,16,0.7966543,0.20430206,0,0,4.179894,1080.1932,4.610995,1816.4636,3.5697494,362.00406,1.2259238,1.0412455,NOT_AVAILABLE,,4089.835567370949,5.009818934047725,0.0006053378374201702,ruwe_gt_1p4,1
