source_id,original_ext_source_id,angular_distance,score,xm_flag
779106556394253824,54539,0.0071767666,16.77690021561585,8
1415230383034813824,85670,0.023404354,7.21161103271291,8
1278391075717325312,74666,0.0014703276,17.865559611328457,8
266846631637524864,23518,0.01926064,8.55769996729036,72
672091364541849344,38082,0.0076705036,10.902078346692987,8
644306911864817152,46750,0.021146096,12.342590649020861,8
660136821288588416,42911,0.009409694,11.11077216055969,8
35845938787261952,13654,0.42688197,8.098255527601257,16
1243381938292692096,67459,0.0044743363,15.735562280610733,8
160886283751041408,23015,0.013415926,12.690399045413367,8
1872046574983497216,104217,0.15842918,6.212272706449905,72
470826482637310080,21088,0.040717363,8.420163677549189,72
1661568850770761600,68184,0.00064864213,20.64662396702723,8
786420645182229504,57399,0.008202587,15.01956026531369,8
823228721067307392,49189,0.00073597877,19.868883376921783,8
1254694882149817728,70536,0.0033600812,16.109024825984374,8
1201067439457715072,80170,0.0071534454,12.16290483567961,8
1229089524081628416,70865,0.0016824125,18.642873186444632,8
1637645127018395776,86162,0.0034939318,15.147940114500734,8
1051547052218220160,48714,0.0011279435,19.473597829051474,8
614543647497149056,47513,0.0035130908,16.797114760149125,8
588551501854159744,47508,0.017988928,12.751467479646164,8
1244644727396803584,67090,0.0028766068,15.207452594146863,8
1057879895596316416,56936,0.014582403,10.75370918003264,72
454491381981202944,13268,0.008345241,13.253128284444797,8
1621259036510505344,73199,0.05727058,3.7873738707034006,8
880495478530513920,38541,0.00972739,10.29153646952444,72
1398822783330261248,78574,0.0014003167,15.60991482423959,8
641662895638787584,47908,0.0112826545,15.649920167418724,8
1117104986348319232,44390,0.0066099036,13.640609838463355,8
1534011998572555776,61317,0.0070980308,15.183047908220047,8
1460229442589223424,64394,0.008667995,11.54926422517041,8
1143321672882274560,29277,0.0017522089,17.604428681696806,8
1057318835428596096,55360,0.013990921,10.887687336503078,72
399402894487590144,7607,0.00791319,12.63807758603461,8
939072613334579328,33226,0.004372994,9.569569646928507,8
1428427236986209024,80459,0.005041723,8.750737805673973,8
1563590579347125632,65378,0.014713058,13.69837814504742,8
643819484617141504,48455,0.0027918227,17.334511121262242,8
1187851653287128576,72944,0.07418557,10.45754823482843,72
1022456104850892928,120005,0.070297584,10.532354492135743,72
1022456139210632064,45343,0.06234442,10.581239605991689,72
386653851004022144,473,0.13805914,8.270254824135069,72
1362451076122760320,86414,0.003647587,15.715197710946894,8
139860666488305664,13375,0.0021355546,17.183826095031826,8
