filename	relative_path	bytes	source_path	link_count
gaia_full_b0206.vot.gz	payload/gaia-votables/gaia_full_b0206.vot.gz	1959827298	data/catalogs/gaia/gaia_full_b0206.vot.gz	3
gaia_full_b0207.vot.gz	payload/gaia-votables/gaia_full_b0207.vot.gz	1974126617	data/catalogs/gaia/gaia_full_b0207.vot.gz	3
gaia_full_b0208.vot.gz	payload/gaia-votables/gaia_full_b0208.vot.gz	1999492351	data/catalogs/gaia/gaia_full_b0208.vot.gz	3
gaia_full_b0209.vot.gz	payload/gaia-votables/gaia_full_b0209.vot.gz	2004311175	data/catalogs/gaia/gaia_full_b0209.vot.gz	3
gaia_full_b0210.vot.gz	payload/gaia-votables/gaia_full_b0210.vot.gz	1990618654	data/catalogs/gaia/gaia_full_b0210.vot.gz	3
gaia_full_b0211.vot.gz	payload/gaia-votables/gaia_full_b0211.vot.gz	2072388447	data/catalogs/gaia/gaia_full_b0211.vot.gz	3
gaia_full_b0212.vot.gz	payload/gaia-votables/gaia_full_b0212.vot.gz	2068067656	data/catalogs/gaia/gaia_full_b0212.vot.gz	3
gaia_full_b0213.vot.gz	payload/gaia-votables/gaia_full_b0213.vot.gz	2070853863	data/catalogs/gaia/gaia_full_b0213.vot.gz	3
gaia_full_b0214.vot.gz	payload/gaia-votables/gaia_full_b0214.vot.gz	2067504671	data/catalogs/gaia/gaia_full_b0214.vot.gz	3
gaia_full_b0215.vot.gz	payload/gaia-votables/gaia_full_b0215.vot.gz	2074057392	data/catalogs/gaia/gaia_full_b0215.vot.gz	3
gaia_full_b0216.vot.gz	payload/gaia-votables/gaia_full_b0216.vot.gz	2081170173	data/catalogs/gaia/gaia_full_b0216.vot.gz	3
gaia_full_b0217.vot.gz	payload/gaia-votables/gaia_full_b0217.vot.gz	2086819114	data/catalogs/gaia/gaia_full_b0217.vot.gz	3
gaia_full_b0218.vot.gz	payload/gaia-votables/gaia_full_b0218.vot.gz	2085293032	data/catalogs/gaia/gaia_full_b0218.vot.gz	3
gaia_full_b0219.vot.gz	payload/gaia-votables/gaia_full_b0219.vot.gz	2089916263	data/catalogs/gaia/gaia_full_b0219.vot.gz	3
gaia_full_b0220.vot.gz	payload/gaia-votables/gaia_full_b0220.vot.gz	2087028241	data/catalogs/gaia/gaia_full_b0220.vot.gz	3
gaia_full_b0221.vot.gz	payload/gaia-votables/gaia_full_b0221.vot.gz	2094600013	data/catalogs/gaia/gaia_full_b0221.vot.gz	3
gaia_full_b0222.vot.gz	payload/gaia-votables/gaia_full_b0222.vot.gz	2087396451	data/catalogs/gaia/gaia_full_b0222.vot.gz	3
gaia_full_b0223.vot.gz	payload/gaia-votables/gaia_full_b0223.vot.gz	2093377775	data/catalogs/gaia/gaia_full_b0223.vot.gz	3
gaia_full_b0224.vot.gz	payload/gaia-votables/gaia_full_b0224.vot.gz	1935303173	data/catalogs/gaia/gaia_full_b0224.vot.gz	3
