hip_source_id,gaia_source_id,angular_distance,number_of_neighbours,hip_hpmag,phot_g_mean_mag,gaia_g_minus_hip_hp,phot_bp_mean_mag,phot_rp_mean_mag,gaia_bp_minus_rp,hip_bv,hip_plx_mas,hip_plx_error_mas,hip_solution_type,has_processed_hip_row,r_pc,mag_abs,astrometry_quality,photometry_quality,gaia_g_finite,gaia_g_gt_processed_hip_hpmag_max
78930,5984926739641715328,0.61694497,1,8.2007,,,,,,0.521,8.98,0.6,5,True,111.35858028749018,2.967081378857115,0.06681515082710542,0.14498887729481874,False,False
84879,5959478130739342208,1.4363104,1,8.1704,,,,,,0.5,17.63,1.13,15,True,56.72150014775663,4.401661123961449,0.06409529489634376,0.13908678992506596,False,False
117024,1943854957826232704,0.736691,1,8.169,,,,,,0.052,3.15,0.7,5,True,317.46030784972294,0.6605525066261784,0.2222222117099395,0.4822221994105687,False,False
42555,5646165317298013312,0.63148475,1,8.1573,,,,,,0.082,4.2,0.7,5,True,238.09524890797783,1.273546348798651,0.16666667139719424,0.3616666769319115,False,False
14658,462759949934290560,1.2327356,1,8.1484,,,,,,0.12,2.2,0.79,5,True,454.5454446936726,-0.13948624212191163,0.3590909110613105,0.7792272770030438,False,False
116066,6378204662819276416,0.4537697,1,8.13,,,8.168198,7.422679,0.745518684387207,0.652,12.53,0.91,15,True,79.8084613988279,3.619755423135076,0.07262570196482031,0.15759777326366006,False,False
36532,5615234818264147072,0.33210152,1,8.1225,,,,,,-0.146,0.66,0.89,5,True,1515.151454945454,-2.7797798163874,1.3484847732264615,2.9262119579014216,False,False
33116,2925899848543904768,0.60726994,1,8.0804,,,,,,0.208,4.3,0.85,5,True,232.55812921939858,1.2477428411367582,0.1976744153810361,0.42895348137684836,False,False
42566,609424046481849728,0.4616552,1,8.0344,,,,,,0.122,2.88,0.9,5,True,347.22220842492226,0.33136251134980377,0.31249997930394363,0.6781249550895576,False,False
109057,1954653502038964736,0.7763923,1,7.9968,,,,,,0.004,3.15,0.58,5,True,317.46030784924017,0.48835278052144204,0.1841269732542803,0.3995555319617882,False,False
62820,6079501060464963072,0.57106763,1,7.8569,,,,,,-0.045,4.02,0.71,5,True,248.75622008652402,0.8780304702684028,0.17661691092314133,0.38325869670321666,False,False
103447,6915679481581303424,1.6750191,1,7.8262,,,,,,1.529,1.74,0.66,5,True,574.7126405292568,-0.9710537382930724,0.379310357821068,0.8231034764717174,False,False
79706,6038342560670933120,0.55838656,1,7.8243,,,,,,0.418,6.0,1.26,15,True,166.6666666672963,1.715056064235113,0.20999999841054282,0.4556999965508779,False,False
67785,3657158609525041920,0.4500745,1,7.7083,,,,,,0.483,6.02,0.64,15,True,166.11295733862175,1.6062825630871096,0.10631229031937396,0.23069766999304148,False,False
34659,5561235362669182720,0.5935412,1,7.5386,,,,,,0.116,6.96,0.61,15,True,143.67816013214866,1.7516461779109482,0.08764367973588702,0.19018678502687483,False,False
43285,5523785996625155840,0.6016619,1,7.283,,,,,,-0.134,2.63,0.53,5,True,380.22812033757714,-0.6172211706919022,0.20152089290020325,0.43730033759344106,False,False
28504,2884234508231103616,0.7921391,1,7.2584,,,,,,0.921,4.24,0.59,15,True,235.8490693355922,0.39522912912308694,0.13915094472242454,0.3019575500476612,False,False
52526,5350346970887961984,1.1426038,1,6.3159,,,,,,-0.31,1.67,0.4,15,True,598.802410597708,-2.5705178511261835,0.23952096780813728,0.5197605001436579,False,False
18512,3256334497479302272,1.0012946,1,8.199,21.342897,13.14389705657959,,,,1.115,64.4,1.06,15,True,15.527949948791726,7.243429746830975,0.016459626050685478,0.03571738852998749,True,True
96142,4295139648778872576,0.9191857,1,9.5488,21.279528,11.730727195739746,20.995014,19.461779,1.5332355499267578,0.69,12.77,1.7,5,True,78.30853289092354,5.079755032602242,0.13312450953360622,0.2888801856879255,True,True
80221,5932241509774006656,1.0495476,1,8.4313,21.04498,12.613678932189941,,,,0.69,26.0,0.83,5,True,38.46153849529993,5.506166903123133,0.03192307628118075,0.06927307553016222,True,True
71681,5877748442128924544,0.46895134,1,1.2429,20.948614,19.705714106559753,18.62975,17.997904,0.6318454742431641,0.9,796.92,25.9,95,True,1.254831250480045,5.749973598789051,0.032500125701390783,0.07052527277201799,True,True
66814,5865694736636775936,1.652258,1,9.2864,20.902208,11.615808486938477,,,,0.921,23.95,1.08,5,True,41.75365214702659,6.182927499234863,0.0450939460756323,0.09785386298412209,True,True
84404,5974018828340131456,0.84236014,1,9.0658,20.572393,11.506593704223633,,,,0.795,12.59,0.9,5,True,79.42811661918397,4.565928389991822,0.07148530303815334,0.15512310759279274,True,True
90055,4096449891873764480,0.76425415,1,9.5201,19.804638,10.284538269042969,,,,1.008,24.31,1.46,5,True,41.13533617686043,6.449024386404963,0.06005759235792626,0.13032497541669996,True,True
72821,5906094470304958208,1.1613251,1,8.2894,19.750376,11.460975646972656,,,,0.699,20.96,1.06,15,True,47.709925761472164,4.896356397417101,0.05057251856298018,0.10974236528166699,True,True
95447,4315804282633172352,1.2060436,1,5.309,19.742466,14.433465957641602,20.049,18.09676,1.952239990234375,0.761,65.89,0.26,5,True,15.17681007705875,4.403097532881711,0.003945970448803856,0.008562755873904367,True,True
78408,5985256936695918720,1.0742872,1,7.674,19.610111,11.936111450195312,,,,0.78,14.86,0.67,5,True,67.29475258359851,3.5340937833304293,0.04508748534110768,0.09783984319020367,True,True
1512,2547140632751586816,0.29972598,1,10.4125,19.555286,9.142786026000977,19.25713,17.654001,1.603128433227539,0.975,3.05,3.0,1,True,327.86885771323193,2.8339995442548442,0.9836065727547595,2.134426262877828,True,True
94449,4263841431792159488,0.45459002,1,9.2924,19.547108,10.254707336425781,19.781702,18.4205,1.3612022399902344,0.538,8.15,1.43,5,True,122.6993925106704,3.848188302169145,0.17546012447615195,0.3807484701132497,True,True
111794,6517544603176106880,1.0669777,1,8.5789,19.043316,10.464415550231934,,,,1.289,3.53,0.97,5,True,283.2861212905885,1.3177738465588256,0.2747875457427661,0.5962889742618024,True,True
